"","日期","骑行","跑步","跳绳"
"262",2024-09-18,0,0,0
"263",2024-09-19,0,0,0
"264",2024-09-20,0,0,0
"265",2024-09-21,0,0,0
"266",2024-09-22,0,0,0
"267",2024-09-23,0,0,0
"268",2024-09-24,0,0,0
"269",2024-09-25,0,0,0
"270",2024-09-26,0,0,0
"271",2024-09-27,0,0,0
"272",2024-09-28,37.02,0,0
"273",2024-09-29,0,0,0
"274",2024-09-30,0,0,0
"275",2024-10-01,0,0,0
"276",2024-10-02,0,0,0
"277",2024-10-03,0,0,0
"278",2024-10-04,0,0,0
"279",2024-10-05,141.62,0,0
"280",2024-10-06,0,0,0
"281",2024-10-07,0,0,0
"282",2024-10-08,0,0,0
"283",2024-10-09,0,0,0
"284",2024-10-10,0,0,0
"285",2024-10-11,0,0,0
"286",2024-10-12,0,0,0
"287",2024-10-13,0,0,0
"288",2024-10-14,0,0,0
"289",2024-10-15,0,0,0
"290",2024-10-16,0,0,0
"291",2024-10-17,0,0,0
"292",2024-10-18,0,0,0
"293",2024-10-19,0,0,0
"294",2024-10-20,0,0,0
"295",2024-10-21,0,0,0
"296",2024-10-22,0,0,0
"297",2024-10-23,14.02,0,0
"298",2024-10-24,7.43,0,0
"299",2024-10-25,0,0,0
"300",2024-10-26,0,0,0
"301",2024-10-27,0,0,0
"302",2024-10-28,0,0,0
"303",2024-10-29,6.8,0,0
"304",2024-10-30,0,0,0
"305",2024-10-31,0,0,0
"306",2024-11-01,0,0,0
"307",2024-11-02,0,0,0
"308",2024-11-03,0,0,0
"309",2024-11-04,6.78,0,0
"310",2024-11-05,6.76,0,0
"311",2024-11-06,6.56,0,0
"312",2024-11-07,7.01,0,0
"313",2024-11-08,6.73,0,0
"314",2024-11-09,0,0,0
"315",2024-11-10,0,0,0
"316",2024-11-11,0,0,0
"317",2024-11-12,0,0,0
"318",2024-11-13,0,0,0
"319",2024-11-14,0,0,0
"320",2024-11-15,0,0,0
"321",2024-11-16,0,0,0
"322",2024-11-17,0,0,0
"323",2024-11-18,0,0,0
"324",2024-11-19,0,0,0
"325",2024-11-20,0,0,0
"326",2024-11-21,0,0,0
"327",2024-11-22,0,0,0
"328",2024-11-23,0,0,0
"329",2024-11-24,0,0,0
"330",2024-11-25,0,0,0
"331",2024-11-26,0,0,0
"332",2024-11-27,0,0,0
"333",2024-11-28,0,0,0
"334",2024-11-29,0,0,0
"335",2024-11-30,0,0,0
"336",2024-12-01,0,0,0
"337",2024-12-02,0,0,0
"338",2024-12-03,0,0,0
"339",2024-12-04,0,0,0
"340",2024-12-05,0,0,0
"341",2024-12-06,0,0,0
"342",2024-12-07,0,0,0
"343",2024-12-08,0,0,0
"344",2024-12-09,0,0,0
"345",2024-12-10,0,0,0
"346",2024-12-11,0,0,0
"347",2024-12-12,0,0,0
"348",2024-12-13,0,0,0
"349",2024-12-14,0,0,0
"350",2024-12-15,0,0,0
"351",2024-12-16,0,0,0
"352",2024-12-17,0,0,0
"353",2024-12-18,0,0,0
"354",2024-12-19,0,0,0
"355",2024-12-20,0,0,0
"356",2024-12-21,0,0,0
"357",2024-12-22,0,0,0
"358",2024-12-23,0,0,0
"359",2024-12-24,0,0,0
"360",2024-12-25,0,0,0
"361",2024-12-26,0,0,0
"362",2024-12-27,0,0,0
"363",2024-12-28,0,0,0
"364",2024-12-29,0,0,0
"365",2024-12-30,0,0,0
"366",2024-12-31,0,0,0
